-0.322,0.117,0.991,0.438,-0.011,0.000,-0.185,-0.020
-1.128,0.038,-0.309,0.560,-0.010,0.001,-0.108,-0.022
1.299,0.627,2.727,1.257,-0.007,0.001,-0.223,-0.048
1.956,1.219,4.001,1.687,-0.005,0.002,-0.262,-0.064
1.895,0.866,3.750,1.738,-0.002,0.003,-0.216,-0.053
1.013,1.110,1.908,1.522,-0.000,0.004,-0.099,-0.032
1.794,0.524,2.117,1.359,0.001,0.004,-0.098,-0.020
1.794,0.524,2.117,1.359,0.001,0.004,-0.098,-0.020
1.868,0.499,2.507,0.912,0.001,0.004,-0.110,0.002
1.475,0.523,1.779,1.120,0.003,0.004,-0.056,-0.011
0.880,0.863,0.706,0.840,0.003,0.004,-0.003,0.003
0.723,0.582,0.257,0.908,0.002,0.004,0.017,0.001
0.816,0.464,-0.075,0.857,0.002,0.004,0.030,0.003
0.302,0.560,-0.572,0.554,0.002,0.003,0.049,0.015
-0.332,0.357,-0.677,0.471,0.001,0.003,0.048,0.018
-0.699,0.582,-1.814,0.889,0.000,0.003,0.094,-0.001
-0.947,0.500,-5.486,6.839,-0.013,0.028,0.111,0.014
-0.793,0.561,-9.449,15.413,-0.032,0.063,0.076,0.012
-0.935,0.356,-13.625,23.440,-0.049,0.096,0.068,0.028
-2.949,3.711,-16.102,27.216,-0.066,0.127,-0.014,0.229
-6.119,9.598,-18.401,32.245,-0.081,0.156,-0.091,0.340
-8.430,10.284,-18.707,27.874,-0.094,0.181,-0.242,0.863
-5.663,6.043,-17.896,27.852,-0.106,0.203,-0.432,1.141
-3.865,3.327,-12.496,16.918,-0.109,0.208,-0.737,1.753
-6.262,5.214,-7.578,8.638,-0.110,0.206,-0.999,2.141
-7.183,3.887,-6.881,1.108,-0.114,0.205,-1.075,2.509
-7.620,5.051,-3.342,-9.375,-0.105,0.188,-1.149,2.821
-7.620,5.051,-5.766,-4.528,-0.115,0.208,-1.149,2.821
-2.466,-4.066,-1.840,-8.795,-0.104,0.180,-1.202,2.688
-5.459,3.010,-2.163,-3.192,-0.102,0.171,-1.161,2.295
-6.370,2.287,0.925,-14.998,-0.091,0.153,-1.179,2.659
-4.137,0.046,3.124,-13.808,-0.088,0.143,-1.254,2.472
-2.828,-3.631,2.545,-15.507,-0.080,0.130,-1.127,2.405
-2.828,-3.631,2.032,-14.482,-0.082,0.135,-1.127,2.405
-1.809,-1.292,5.391,-13.147,-0.059,0.089,-1.012,1.766
-1.809,-1.292,5.562,-13.490,-0.059,0.087,-1.012,1.766
-1.688,0.890,6.335,-12.715,-0.040,0.059,-0.822,1.378
-0.209,-0.526,6.832,-13.058,-0.025,0.032,-0.657,1.047
0.366,-0.823,8.814,-15.600,-0.017,0.018,-0.650,1.008
0.230,-0.829,6.281,-12.011,-0.004,-0.003,-0.363,0.561
-0.057,0.120,7.166,-11.819,0.006,-0.021,-0.285,0.333
0.803,1.306,8.046,-10.264,0.017,-0.040,-0.195,0.019
1.467,-0.706,8.550,-13.055,0.027,-0.059,-0.086,-0.079
2.419,-1.276,9.636,-13.589,0.038,-0.077,-0.001,-0.289
3.333,-2.430,9.982,-14.850,0.050,-0.097,0.120,-0.474
2.536,-0.483,11.558,-16.781,0.061,-0.120,0.190,-0.664
1.771,1.313,10.372,-13.727,0.070,-0.133,0.352,-0.978
3.567,-2.310,7.890,-12.175,0.078,-0.147,0.578,-1.225
4.539,-4.215,10.172,-15.394,0.089,-0.169,0.609,-1.343
1.826,2.053,8.514,-11.609,0.098,-0.181,0.796,-1.684
5.925,-6.791,11.337,-15.134,0.106,-0.200,0.764,-1.741
3.980,-1.260,11.090,-13.579,0.119,-0.221,0.939,-2.086
1.697,3.716,7.998,-6.323,0.119,-0.219,1.092,-2.418
4.616,-6.241,4.138,-9.772,0.120,-0.225,1.292,-2.325
3.414,0.433,3.194,3.553,0.115,-0.209,1.274,-2.788
0.610,4.105,-6.891,17.214,0.092,-0.164,1.492,-2.910
4.319,-3.966,-9.610,20.086,0.080,-0.141,1.487,-2.772
-0.546,6.287,-15.903,35.021,0.058,-0.100,1.526,-2.999
-2.450,7.605,-16.094,32.334,0.047,-0.079,1.394,-2.599
-3.572,5.997,-15.138,23.053,0.028,-0.050,1.110,-1.772
-5.008,5.591,-15.504,19.939,0.022,-0.037,1.050,-1.463
-3.882,3.595,-13.316,14.204,0.017,-0.031,0.873,-1.093
-4.763,1.911,-10.420,8.024,0.003,-0.015,0.562,-0.592
-4.763,1.911,-10.420,8.024,0.003,-0.015,0.562,-0.592
-4.417,1.045,-9.380,5.587,0.000,-0.013,0.472,-0.437
-4.198,0.187,-7.170,2.516,-0.006,-0.008,0.283,-0.228
-4.789,-0.080,-7.382,1.640,-0.010,-0.006,0.247,-0.151
-4.581,0.262,-7.173,2.021,-0.012,-0.004,0.212,-0.152
